Instance,BKS,Prins,Mester and Bräysy,Nagata and Bräysy,HGSADC
G1,5626.81,5648.04,5627.54,5632.05,5623.47
G2,8431.66,8459.73,8447.92,8440.25,8404.61
G3,11036.22,11036.22,11036.22,11036.22,11036.22
G4,13592.88,13728.80,13624.52,13618.55,13624.53
G5,6460.98,6460.98,6460.98,6460.98,6460.98
G6,8404.26,8412.90,8412.88,8413.41,8412.90
G7,10156.58,10267.50,10195.56,10186.93,10102.68
G8,11663.55,11865.40,11663.55,11691.54,11635.34
G9,580.02,596.89,583.39,581.46,579.71
G10,738.44,751.41,741.56,739.56,736.26
G11,914.03,939.74,918.45,916.27,912.84
G12,1104.84,1152.88,1107.19,1108.21,1102.69
G13,857.19,877.71,859.11,858.42,857.19
G14,1080.55,1089.93,1081.31,1080.84,1080.55
G15,1340.24,1371.61,1345.23,1344.32,1337.92
G16,1616.33,1650.94,1622.69,1622.26,1612.50
G17,707.76,717.09,707.79,707.78,707.76
G18,995.13,1018.74,998.73,995.91,995.13
G19,1365.97,1385.60,1366.86,1366.70,1365.60
G20,1819.99,1846.55,1820.09,1821.65,1818.32
