Instance,BKS,Pisinger and Røpke,Nagata and Bräysy,Vidal et al.,Zachariadis and Kiranoudis,ILS-RVND-SP
G1,5662.57,5662.57,5632.05,5627.00,5637.99,5671.65
G2,8487.94,8487.94,8440.25,8446.65,8457.92,8449.82
G3,11052.72,11052.72,11036.22,11036.22,11036.22,11036.22
G4,13748.50,13748.50,13618.55,13624.52,13632.59,13624.53
G5,6482.49,6482.49,6460.98,6460.98,6460.98,6460.98
G6,8543.30,8543.30,8413.41,8412.90,8412.90,8412.90
G7,10265.15,10265.15,10186.93,10157.63,10192.47,10195.60
G8,11766.07,11766.07,11691.54,11646.58,11674.43,11774.40
G9,590.33,590.33,581.46,581.79,584.66,585.21
G10,751.36,751.36,739.56,739.86,739.86,744.17
G11,926.57,926.57,916.27,916.44,919.52,922.93
G12,1125.22,1125.22,1108.21,1106.73,1110.65,1116.52
G13,874.24,874.24,858.42,859.64,860.44,860.00
G14,1103.53,1103.53,1080.84,1082.41,1083.55,1082.15
G15,1366.23,1366.23,1344.32,1343.52,1344.41,1349.23
G16,1645.67,1645.67,1622.26,1621.02,1623.42,1627.76
G17,710.59,710.59,707.78,708.09,708.94,707.81
G18,1007.84,1007.84,995.91,998.44,997.74,997.85
G19,1377.88,1377.88,1366.70,1367.83,1370.77,1367.25
G20,1834.70,1834.70,1821.65,1822.02,1829.57,1823.52
