,normal,log
C1,0.22972062230110168,0.2708395719528198
C10,0.16038735210895538,0.16812366247177124
C11,0.18130332231521606,0.14528383314609528
C12,0.13711808621883392,0.1036325991153717
C13,0.0027217171154916286,0.0024284899700433016
C14,0.13711808621883392,0.1036325991153717
C2,0.020684879273176193,0.5647571086883545
C3,0.22755174338817596,0.1813618689775467
C4,0.3303196430206299,0.051216010004282
C5,0.07111392170190811,0.0555267296731472
C6,0.03617376834154129,0.051392290741205215
C7,0.6241253018379211,0.18764978647232056
C8,0.18302282691001892,0.1537739336490631
C9,0.42891061305999756,0.3093741834163666
