,normal,log
G1,0.0014092661440372467,0.3135143518447876
G10,0.03275251388549805,0.38012975454330444
G11,0.2706416845321655,0.005156719591468573
G12,0.3483803868293762,0.2409180849790573
G13,0.4708561301231384,0.0006297124782577157
G14,0.9337205290794373,0.15224285423755646
G15,0.02085317298769951,0.005606424063444138
G16,0.0475081168115139,0.014014019630849361
G17,0.07077071815729141,0.05083317682147026
G18,0.5573368072509766,0.0065107145346701145
G19,0.0784163773059845,0.2666926383972168
G2,0.4687975347042084,0.003823359264060855
G20,0.06321195513010025,0.029557116329669952
G3,0.02100108005106449,0.004626096226274967
G4,0.4069153666496277,0.0015311673050746322
G5,0.016170058399438858,0.004491314757615328
G6,0.02505476027727127,0.005028268322348595
G7,0.2105337381362915,0.01746402122080326
G8,0.251690536737442,0.05530942603945732
G9,0.19703739881515503,0.0060054585337638855
