,normal,log
G1,0.5027208924293518,0.03832776099443436
G10,0.06102082133293152,0.14303140342235565
G11,0.2557096481323242,0.019608281552791595
G12,0.006634359247982502,0.035899415612220764
G13,0.19274766743183136,0.0007844402571208775
G14,0.03198004886507988,0.4323424696922302
G15,0.30765867233276367,0.01407031249254942
G16,0.8539344072341919,0.04446527361869812
G17,0.14338043332099915,0.06586503982543945
G18,0.1738261580467224,0.7076584696769714
G19,0.07293757796287537,0.0031892640981823206
G2,0.8391376733779907,0.03673389554023743
G20,0.1755821704864502,0.08634347468614578
G3,0.037424713373184204,0.14844168722629547
G4,0.03921280801296234,0.017132235690951347
G5,0.1309814155101776,0.149115189909935
G6,0.12667128443717957,0.06024126708507538
G7,0.25440090894699097,0.14603175222873688
G8,0.07840412110090256,0.04206955432891846
G9,0.13861024379730225,0.0038875716272741556
