,normal,log
C1,0.00603360403329134,0.005812151823192835
C10,0.01919175125658512,0.020318524911999702
C11,0.00603360403329134,0.005812151823192835
C12,0.00603360403329134,0.005812151823192835
C13,0.6316685080528259,0.7205848693847656
C14,0.00603360403329134,0.005812151823192835
C2,0.002070678398013115,0.0034325479064136744
C3,0.00603360403329134,0.005812151823192835
C4,0.2953360676765442,0.12377120554447174
C5,0.0013732826337218285,0.0012353616766631603
C6,0.00603360403329134,0.005812151823192835
C7,0.4833739399909973,0.348915696144104
C8,0.00603360403329134,0.005812151823192835
C9,0.11302349716424942,0.19276230037212372
