,normal,log
G1,0.08226418495178223,0.011448350735008717
G10,0.05931646376848221,0.33306625485420227
G11,0.5119824409484863,0.021703295409679413
G12,0.4970324635505676,0.0010818217415362597
G13,0.5011195540428162,0.0024174910504370928
G14,0.1544061154127121,0.1656767874956131
G15,0.5793750286102295,0.09242812544107437
G16,0.013478674925863743,0.7059207558631897
G17,0.17568965256214142,0.28438445925712585
G18,0.7564644813537598,0.05487648770213127
G19,0.47925490140914917,0.46261194348335266
G2,0.7776296138763428,0.006565465126186609
G20,0.8773270845413208,0.29187285900115967
G3,0.0622825063765049,0.01671285182237625
G4,0.25889837741851807,0.2668711543083191
G5,0.0622825063765049,0.01671285182237625
G6,0.09383133053779602,0.01453328039497137
G7,0.9285851716995239,0.09645113348960876
G8,0.029563790187239647,0.8430797457695007
G9,0.209358349442482,0.02780980058014393
