,normal,log
C1,0.04315264895558357,0.0314691923558712
C10,0.06141816824674606,0.059562843292951584
C11,0.04315264895558357,0.0314691923558712
C12,0.04315264895558357,0.0314691923558712
C13,0.008183896541595459,0.0017065706197172403
C14,0.04315264895558357,0.0314691923558712
C2,0.04315264895558357,0.0314691923558712
C3,0.04315264895558357,0.0314691923558712
C4,0.1321062445640564,0.008855120278894901
C5,0.007679727394133806,0.006193223409354687
C6,0.0052010188810527325,0.2394058257341385
C7,0.04780992493033409,0.04092767834663391
C8,0.04315264895558357,0.0314691923558712
C9,0.10490294545888901,0.026476286351680756
