,normal,log
G1,0.004423390608280897,0.36192452907562256
G10,0.08092925697565079,0.24926099181175232
G11,0.022071490064263344,0.04285530000925064
G12,0.0095971105620265,0.06188472732901573
G13,0.22354267537593842,0.06593352556228638
G14,0.2714022099971771,0.05721752345561981
G15,0.26440954208374023,0.08756323158740997
G16,0.20047077536582947,0.05953196808695793
G17,0.07422156631946564,0.06353957951068878
G18,0.20091524720191956,0.9065641760826111
G19,0.12373294681310654,0.06125723570585251
G2,0.08470595628023148,0.0957615077495575
G20,0.14042331278324127,0.4947969317436218
G3,0.30402666330337524,0.059781454503536224
G4,0.012483255937695503,0.8463358879089355
G5,0.34636440873146057,0.1075616106390953
G6,0.0076987347565591335,0.2148665338754654
G7,0.2059284746646881,0.16938485205173492
G8,0.7947731614112854,0.050649527460336685
G9,0.046110834926366806,0.05646546557545662
